"","gvkey","sic2","category"
"25459",133824,73,"Services"
"25460",133825,73,"Services"
"25461",133844,73,"Services"
"25462",133865,NA,NA
"25463",133866,50,"Wholesale Trade"
"25464",133867,NA,NA
"25465",133868,28,"Manufacturing"
"25466",133869,73,"Services"
"25467",133870,29,"Manufacturing"
"25468",133871,28,"Manufacturing"
"25469",133885,87,"Services"
"25470",133886,NA,NA
"25471",133888,73,"Services"
"25472",133905,38,"Manufacturing"
"25473",133944,87,"Services"
"25474",133945,36,"Manufacturing"
"25475",133947,NA,NA
"25476",133949,35,"Manufacturing"
"25477",133964,73,"Services"
"25478",133985,73,"Services"
"25479",133986,NA,NA
"25480",133987,NA,NA
"25481",133988,NA,NA
"25482",134004,NA,NA
"25483",134025,NA,NA
"25484",134026,48,"Transportation & Public Utilities"
"25485",134031,NA,NA
"25486",134044,73,"Services"
"25487",134084,73,"Services"
"25488",134104,73,"Services"
"25489",134124,73,"Services"
"25490",134125,73,"Services"
"25491",134144,NA,NA
"25492",134164,NA,NA
"25493",134224,73,"Services"
"25494",134267,73,"Services"
"25495",134305,10,"Mining"
"25496",134308,28,"Manufacturing"
"25497",134344,59,"Retail Trade"
"25498",134364,73,"Services"
"25499",134384,35,"Manufacturing"
"25500",134404,73,"Services"
"25501",134424,59,"Retail Trade"
"25502",134447,NA,NA
"25503",134448,99,"Public Administration"
"25504",134450,NA,NA
"25505",134451,NA,NA
"25506",134452,NA,NA
"25507",134453,48,"Transportation & Public Utilities"
"25508",134464,10,"Mining"
"25509",134484,NA,NA
"25510",134504,78,"Services"
"25511",134584,59,"Retail Trade"
"25512",134604,73,"Services"
"25513",134605,73,"Services"
"25514",134625,73,"Services"
"25515",134644,59,"Retail Trade"
"25516",134645,73,"Services"
"25517",134664,73,"Services"
"25518",134685,NA,NA
"25519",134704,48,"Transportation & Public Utilities"
"25520",134724,73,"Services"
"25521",134744,NA,NA
"25522",134764,NA,NA
"25523",134765,73,"Services"
"25524",134784,NA,NA
"25525",134804,NA,NA
"25526",134826,NA,NA
"25527",134845,NA,NA
"25528",134867,73,"Services"
"25529",134869,NA,NA
"25530",134870,NA,NA
"25531",134932,36,"Manufacturing"
"25532",134938,NA,NA
"25533",134944,62,"Finance, Insurance, Real Estate"
"25534",134964,NA,NA
"25535",134965,73,"Services"
"25536",134984,NA,NA
"25537",135004,NA,NA
"25538",135024,NA,NA
"25539",135044,36,"Manufacturing"
"25540",135064,73,"Services"
"25541",135124,NA,NA
"25542",135145,10,"Mining"
"25543",135165,NA,NA
"25544",135184,67,"Finance, Insurance, Real Estate"
"25545",135226,NA,NA
"25546",135244,67,"Finance, Insurance, Real Estate"
"25547",135245,61,"Finance, Insurance, Real Estate"
"25548",135246,50,"Wholesale Trade"
"25549",135247,NA,NA
"25550",135249,NA,NA
"25551",135264,NA,NA
"25552",135345,73,"Services"
"25553",135346,51,"Wholesale Trade"
"25554",135401,28,"Manufacturing"
"25555",135409,NA,NA
"25556",135410,13,"Mining"
"25557",135425,60,"Finance, Insurance, Real Estate"
"25558",135484,NA,NA
"25559",135527,73,"Services"
"25560",135544,NA,NA
"25561",135669,NA,NA
"25562",135684,60,"Finance, Insurance, Real Estate"
"25563",135686,NA,NA
"25564",135705,73,"Services"
"25565",135708,NA,NA
"25566",135784,60,"Finance, Insurance, Real Estate"
"25567",135787,73,"Services"
"25568",135788,36,"Manufacturing"
"25569",135804,48,"Transportation & Public Utilities"
"25570",135805,36,"Manufacturing"
"25571",135824,NA,NA
"25572",135844,38,"Manufacturing"
"25573",135864,NA,NA
"25574",135865,NA,NA
"25575",135911,59,"Retail Trade"
"25576",135914,36,"Manufacturing"
"25577",135945,36,"Manufacturing"
"25578",135964,NA,NA
"25579",135965,73,"Services"
"25580",135966,NA,NA
"25581",135969,NA,NA
"25582",135986,51,"Wholesale Trade"
"25583",135987,NA,NA
"25584",135990,49,"Transportation & Public Utilities"
"25585",136009,13,"Mining"
"25586",136044,36,"Manufacturing"
"25587",136146,62,"Finance, Insurance, Real Estate"
"25588",136186,28,"Manufacturing"
"25589",136244,NA,NA
"25590",136264,87,"Services"
"25591",136265,60,"Finance, Insurance, Real Estate"
"25592",136266,NA,NA
"25593",136267,48,"Transportation & Public Utilities"
"25594",136287,73,"Services"
"25595",136306,48,"Transportation & Public Utilities"
"25596",136307,87,"Services"
"25597",136310,NA,NA
"25598",136364,NA,NA
"25599",136384,NA,NA
"25600",136404,NA,NA
"25601",136424,NA,NA
"25602",136444,NA,NA
"25603",136445,NA,NA
"25604",136464,NA,NA
"25605",136484,NA,NA
"25606",136504,NA,NA
"25607",136524,NA,NA
"25608",136544,NA,NA
"25609",136564,NA,NA
"25610",136584,NA,NA
"25611",136604,NA,NA
"25612",136645,NA,NA
"25613",136646,72,"Services"
"25614",136647,59,"Retail Trade"
"25615",136648,37,"Manufacturing"
"25616",136664,NA,NA
"25617",136684,NA,NA
"25618",136704,NA,NA
"25619",136705,24,"Manufacturing"
"25620",136724,99,"Public Administration"
"25621",136725,38,"Manufacturing"
"25622",136727,50,"Wholesale Trade"
"25623",136804,38,"Manufacturing"
"25624",136806,36,"Manufacturing"
"25625",136807,10,"Mining"
"25626",136808,NA,NA
"25627",136809,73,"Services"
"25628",136824,NA,NA
"25629",136825,60,"Finance, Insurance, Real Estate"
"25630",136827,59,"Retail Trade"
"25631",136828,73,"Services"
"25632",136830,73,"Services"
"25633",136844,60,"Finance, Insurance, Real Estate"
"25634",136847,NA,NA
"25635",136864,NA,NA
"25636",136884,28,"Manufacturing"
"25637",136904,NA,NA
"25638",136905,NA,NA
"25639",136906,NA,NA
"25640",136907,NA,NA
"25641",136924,NA,NA
"25642",136944,NA,NA
"25643",136945,NA,NA
"25644",136946,NA,NA
"25645",136947,NA,NA
"25646",136948,NA,NA
"25647",136964,NA,NA
"25648",137004,NA,NA
"25649",137024,13,"Mining"
"25650",137064,75,"Services"
"25651",137066,48,"Transportation & Public Utilities"
"25652",137067,35,"Manufacturing"
"25653",137068,NA,NA
"25654",137069,36,"Manufacturing"
"25655",137071,72,"Services"
